"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          78,      -6.128886903,      -6.075397526,      -6.260769879,      -6.237459035,      -5.505877412,      -9.446517391
          0,           0,          79,      -6.135221043,      -6.078570252,      -6.265946062,      -6.240448764,      -5.512273476,      -9.446138978
          0,           0,          80,      -6.140016406,      -6.081863576,       -6.27168961,      -6.243980023,      -5.517062486,      -9.445851532
          0,           0,          81,      -6.142627119,      -6.085591676,      -6.277941082,      -6.248133128,      -5.519720971,      -9.445674006
          0,           0,          82,      -6.142987693,      -6.089674796,      -6.284609078,      -6.252374856,       -5.52020955,      -9.445665583
          0,           0,          83,      -6.142044183,      -6.094045854,      -6.291592435,      -6.256589444,      -5.519389698,      -9.445840132
          0,           0,          84,      -6.140450721,      -6.098541459,      -6.298811379,       -6.26079563,      -5.517839165,      -9.446208784
          0,           0,          85,      -6.143635079,      -6.103099012,      -6.306179522,      -6.265706106,      -5.520822153,      -9.446771596
          0,           0,          86,      -6.145394583,      -6.108534671,      -6.313893856,      -6.270889923,      -5.522579333,      -9.447530957
          0,           0,          87,      -6.146344063,      -6.114280328,      -6.321719207,      -6.275947104,      -5.523527421,      -9.448566955
          0,           0,          88,      -6.147131461,      -6.120037339,      -6.329503616,      -6.280704208,      -5.524230288,      -9.449749966
          0,           0,          89,      -6.149153885,      -6.125834085,      -6.337186249,      -6.285341805,      -5.526039373,      -9.451131164
          0,           0,          90,        -6.1525264,      -6.131796974,      -6.344821592,      -6.290014309,      -5.529128085,      -9.452614034
          0,           0,          91,      -6.157376608,      -6.137982446,       -6.35237946,       -6.29477727,      -5.533690894,      -9.454260466
          0,           0,          92,      -6.164196464,      -6.144554997,      -6.359870342,      -6.299645538,      -5.540183899,      -9.456060345
          0,           0,          93,       -6.17444109,      -6.151213052,      -6.367313248,      -6.304728659,        -5.5500572,      -9.457995265
          0,           0,          94,      -6.186959155,      -6.158385513,      -6.374790607,      -6.310522504,      -5.562299788,      -9.460048941
