Points_0,Pressure_Coefficient,,,,,,,,,,,,,,,,,,,,,,,
1.0165,-0.0294633,,,,,,,,,,,,,,,,,,,,,,,
1.02034,-0.0294606,,,,,,,,,,,,,,,,,,,,,,,
1.02438,-0.0294577,,,,,,,,,,,,,,,,,,,,,,,
1.02863,-0.0294545,,,,,,,,,,,,,,,,,,,,,,,
1.03311,-0.0294511,,,,,,,,,,,,,,,,,,,,,,,
1.03783,-0.0294473,,,,,,,,,,,,,,,,,,,,,,,
1.04279,-0.0294433,,,,,,,,,,,,,,,,,,,,,,,
1.04801,-0.0294389,,,,,,,,,,,,,,,,,,,,,,,
1.05351,-0.0294342,,,,,,,,,,,,,,,,,,,,,,,
1.05929,-0.029429,,,,,,,,,,,,,,,,,,,,,,,
1.06539,-0.0294234,,,,,,,,,,,,,,,,,,,,,,,
1.0718,-0.0294173,,,,,,,,,,,,,,,,,,,,,,,
1.07855,-0.0294107,,,,,,,,,,,,,,,,,,,,,,,
1.08565,-0.0294035,,,,,,,,,,,,,,,,,,,,,,,
1.09313,-0.0293956,,,,,,,,,,,,,,,,,,,,,,,
1.101,-0.0293871,,,,,,,,,,,,,,,,,,,,,,,
1.10929,-0.0293777,,,,,,,,,,,,,,,,,,,,,,,
1.11801,-0.0293676,,,,,,,,,,,,,,,,,,,,,,,
1.12719,-0.0293565,,,,,,,,,,,,,,,,,,,,,,,
1.13686,-0.0293443,,,,,,,,,,,,,,,,,,,,,,,
1.14703,-0.0293311,,,,,,,,,,,,,,,,,,,,,,,
1.15774,-0.0293166,,,,,,,,,,,,,,,,,,,,,,,
1.16901,-0.0293008,,,,,,,,,,,,,,,,,,,,,,,
1.18088,-0.0292835,,,,,,,,,,,,,,,,,,,,,,,
1.19337,-0.0292645,,,,,,,,,,,,,,,,,,,,,,,
1.20652,-0.0292438,,,,,,,,,,,,,,,,,,,,,,,
1.22036,-0.0292211,,,,,,,,,,,,,,,,,,,,,,,
1.23493,-0.0291963,,,,,,,,,,,,,,,,,,,,,,,
1.25026,-0.0291691,,,,,,,,,,,,,,,,,,,,,,,
1.2664,-0.0291393,,,,,,,,,,,,,,,,,,,,,,,
1.28339,-0.0291066,,,,,,,,,,,,,,,,,,,,,,,
1.30128,-0.0290708,,,,,,,,,,,,,,,,,,,,,,,
1.32011,-0.0290316,,,,,,,,,,,,,,,,,,,,,,,
1.33993,-0.0289886,,,,,,,,,,,,,,,,,,,,,,,
1.36079,-0.0289415,,,,,,,,,,,,,,,,,,,,,,,
1.38275,-0.0288899,,,,,,,,,,,,,,,,,,,,,,,
1.40586,-0.0288333,,,,,,,,,,,,,,,,,,,,,,,
1.43019,-0.0287713,,,,,,,,,,,,,,,,,,,,,,,
1.45581,-0.0287034,,,,,,,,,,,,,,,,,,,,,,,
1.48277,-0.0286291,,,,,,,,,,,,,,,,,,,,,,,
1.51115,-0.0285477,,,,,,,,,,,,,,,,,,,,,,,
1.54102,-0.0284586,,,,,,,,,,,,,,,,,,,,,,,
1.57246,-0.0283612,,,,,,,,,,,,,,,,,,,,,,,
1.60556,-0.0282547,,,,,,,,,,,,,,,,,,,,,,,
1.64041,-0.0281382,,,,,,,,,,,,,,,,,,,,,,,
1.67708,-0.0280111,,,,,,,,,,,,,,,,,,,,,,,
1.71569,-0.0278723,,,,,,,,,,,,,,,,,,,,,,,
1.75633,-0.027721,,,,,,,,,,,,,,,,,,,,,,,
1.79911,-0.0275562,,,,,,,,,,,,,,,,,,,,,,,
1.84413,-0.0273768,,,,,,,,,,,,,,,,,,,,,,,
1.89153,-0.0271817,,,,,,,,,,,,,,,,,,,,,,,
1.94143,-0.0269699,,,,,,,,,,,,,,,,,,,,,,,
1.99395,-0.0267402,,,,,,,,,,,,,,,,,,,,,,,
2.04923,-0.0264915,,,,,,,,,,,,,,,,,,,,,,,
2.10742,-0.0262225,,,,,,,,,,,,,,,,,,,,,,,
2.16868,-0.0259322,,,,,,,,,,,,,,,,,,,,,,,
2.23316,-0.0256195,,,,,,,,,,,,,,,,,,,,,,,
2.30103,-0.0252832,,,,,,,,,,,,,,,,,,,,,,,
2.37248,-0.0249224,,,,,,,,,,,,,,,,,,,,,,,
2.44768,-0.0245363,,,,,,,,,,,,,,,,,,,,,,,
2.52685,-0.024124,,,,,,,,,,,,,,,,,,,,,,,
2.61018,-0.023685,,,,,,,,,,,,,,,,,,,,,,,
2.6979,-0.0232188,,,,,,,,,,,,,,,,,,,,,,,
