"       ""CD""      0.","       ""CL""       ",,,,,,,,,
0.096279054,1.516194308,,,,,,,,,
0.09609184,1.517193929,,,,,,,,,
0.095944385,1.518290367,,,,,,,,,
0.095839433,1.519498216,,,,,,,,,
0.095777005,1.52082327,,,,,,,,,
0.095754769,1.522262712,,,,,,,,,
0.095768508,1.523806534,,,,,,,,,
0.095812865,1.525440247,,,,,,,,,
0.095881029,1.527143986,,,,,,,,,
0.09596576,1.528894205,,,,,,,,,
0.096059936,1.530666527,,,,,,,,,
0.096156569,1.532436847,,,,,,,,,
0.096248905,1.534180655,,,,,,,,,
0.096331383,1.535876091,,,,,,,,,
0.096399853,1.537506869,,,,,,,,,
0.096451177,1.539061006,,,,,,,,,
0.096483968,1.540532523,,,,,,,,,
0.096497721,1.541919054,,,,,,,,,
0.096493705,1.543223558,,,,,,,,,
0.096474209,1.544452152,,,,,,,,,
0.096443894,1.545615846,,,,,,,,,
0.096407004,1.546727287,,,,,,,,,
0.096365044,1.547798568,,,,,,,,,
0.096323332,1.548846231,,,,,,,,,
0.09628546,1.549884236,,,,,,,,,
0.096254663,1.550924516,,,,,,,,,
0.096233847,1.551978198,,,,,,,,,
0.09622469,1.553053164,,,,,,,,,
0.096228085,1.554154557,,,,,,,,,
0.09624391,1.555284106,,,,,,,,,
0.096270708,1.556439417,,,,,,,,,
0.096306323,1.557615416,,,,,,,,,
0.096348309,1.558805203,,,,,,,,,
0.096393666,1.559999673,,,,,,,,,
0.096439202,1.561188248,,,,,,,,,
0.096481357,1.562359793,,,,,,,,,
0.096517014,1.563503747,,,,,,,,,
0.096543312,1.564610418,,,,,,,,,
0.096557666,1.565670305,,,,,,,,,
0.096558464,1.566676354,,,,,,,,,
0.096544653,1.567623357,,,,,,,,,
0.096515859,1.568508836,,,,,,,,,
0.096472056,1.569332039,,,,,,,,,
0.096413808,1.570094113,,,,,,,,,
0.096342604,1.570798775,,,,,,,,,
0.096260152,1.571450724,,,,,,,,,
0.096167805,1.572054988,,,,,,,,,
0.096067076,1.572616376,,,,,,,,,
0.095959464,1.573140166,,,,,,,,,
0.095846291,1.573631523,,,,,,,,,
0.095728405,1.574094193,,,,,,,,,
0.095606494,1.574531356,,,,,,,,,
0.095481056,1.574945597,,,,,,,,,
0.095352287,1.575338694,,,,,,,,,
0.095219803,1.575710777,,,,,,,,,
0.095083232,1.576061113,,,,,,,,,
0.094941905,1.576388036,,,,,,,,,
0.094794825,1.576688521,,,,,,,,,
0.094640687,1.576958747,,,,,,,,,
0.094478165,1.577194727,,,,,,,,,
0.094306194,1.577391951,,,,,,,,,
0.094123978,1.577546321,,,,,,,,,
0.093930644,1.577654417,,,,,,,,,
0.093725344,1.577713306,,,,,,,,,
0.093507343,1.577720142,,,,,,,,,
0.093276491,1.577673257,,,,,,,,,
0.093032862,1.577571912,,,,,,,,,
0.092776766,1.577416436,,,,,,,,,
0.092511419,1.577211542,,,,,,,,,
0.092237316,1.576958921,,,,,,,,,
0.091951345,1.576655761,,,,,,,,,
0.091655542,1.57630554,,,,,,,,,
0.091351208,1.575912074,,,,,,,,,
0.091039957,1.575479481,,,,,,,,,
0.090722916,1.575010383,,,,,,,,,
0.090400761,1.574506771,,,,,,,,,
0.090073316,1.573970744,,,,,,,,,
0.089740801,1.573403201,,,,,,,,,
0.089403556,1.572804844,,,,,,,,,
0.08906217,1.572176644,,,,,,,,,
0.088716624,1.571519224,,,,,,,,,
0.088366984,1.570832547,,,,,,,,,
0.088013307,1.570117508,,,,,,,,,
0.087655587,1.569374211,,,,,,,,,
0.087294104,1.568602741,,,,,,,,,
0.086928927,1.567802287,,,,,,,,,
0.086559982,1.566971945,,,,,,,,,
0.086187151,1.566110935,,,,,,,,,
0.085810518,1.565218731,,,,,,,,,
0.085429876,1.564294798,,,,,,,,,
0.085045402,1.56333945,,,,,,,,,
0.084657238,1.56235376,,,,,,,,,
0.084265796,1.561338546,,,,,,,,,
0.083871915,1.560295161,,,,,,,,,
0.083476121,1.559225005,,,,,,,,,
0.083078928,1.558129748,,,,,,,,,
0.082680925,1.557011334,,,,,,,,,
0.082282965,1.555872371,,,,,,,,,
0.081885617,1.554715947,,,,,,,,,
0.081489945,1.553544793,,,,,,,,,
0.081096902,1.552361184,,,,,,,,,
0.080707205,1.551167392,,,,,,,,,
0.080321664,1.549965807,,,,,,,,,
0.07994087,1.54875829,,,,,,,,,
0.079564834,1.547545455,,,,,,,,,
0.079193237,1.546327287,,,,,,,,,
0.078825813,1.545103397,,,,,,,,,
0.078462405,1.543873484,,,,,,,,,
0.07810308,1.542637504,,,,,,,,,
0.077747943,1.541395878,,,,,,,,,
0.077397288,1.540149501,,,,,,,,,
0.077051565,1.53889922,,,,,,,,,
0.076711122,1.537646114,,,,,,,,,
0.076376403,1.536391473,,,,,,,,,
0.076047713,1.535135976,,,,,,,,,
0.075725375,1.533880401,,,,,,,,,
0.075409665,1.532625653,,,,,,,,,
0.07510076,1.531372524,,,,,,,,,
0.074798969,1.530122291,,,,,,,,,
0.074504632,1.52887651,,,,,,,,,
0.074218067,1.527636748,,,,,,,,,
0.073939498,1.526404411,,,,,,,,,
0.073669314,1.52518112,,,,,,,,,
0.073407803,1.523968219,,,,,,,,,
0.073155218,1.522766718,,,,,,,,,
0.072911556,1.521577196,,,,,,,,,
0.072676787,1.52040024,,,,,,,,,
0.072450959,1.519236176,,,,,,,,,
0.072233769,1.518084926,,,,,,,,,
0.072024995,1.516946512,,,,,,,,,
0.071824678,1.515821207,,,,,,,,,
0.071635519,1.514711928,,,,,,,,,
0.071455846,1.513616445,,,,,,,,,
0.071282129,1.512530311,,,,,,,,,
0.071113596,1.511452363,,,,,,,,,
0.070950891,1.510383464,,,,,,,,,
0.070794449,1.509324129,,,,,,,,,
0.070644496,1.508274658,,,,,,,,,
0.070501265,1.507235245,,,,,,,,,
0.070364906,1.50620629,,,,,,,,,
0.070235672,1.50518841,,,,,,,,,
0.070113845,1.504182633,,,,,,,,,
0.069999717,1.503189923,,,,,,,,,
0.06989341,1.502211277,,,,,,,,,
0.069794791,1.501247365,,,,,,,,,
0.069703714,1.500298415,,,,,,,,,
0.069619956,1.499364882,,,,,,,,,
0.069543313,1.498446889,,,,,,,,,
0.069473559,1.49754438,,,,,,,,,
0.069410379,1.49665722,,,,,,,,,
0.06935351,1.495785337,,,,,,,,,
0.069302793,1.494928411,,,,,,,,,
0.069258002,1.494086052,,,,,,,,,
0.069218917,1.493257916,,,,,,,,,
0.06918535,1.492443642,,,,,,,,,
0.069157015,1.491642556,,,,,,,,,
0.069133629,1.490853868,,,,,,,,,
0.069114923,1.490076849,,,,,,,,,
0.069100552,1.489310579,,,,,,,,,
0.069090198,1.488554554,,,,,,,,,
0.069083658,1.487808192,,,,,,,,,
0.06908069,1.48707095,,,,,,,,,
0.069081116,1.486342299,,,,,,,,,
0.06908477,1.485622115,,,,,,,,,
0.069091546,1.484910376,,,,,,,,,
0.069101319,1.484206939,,,,,,,,,
0.069114016,1.483511836,,,,,,,,,
0.06912957,1.482825263,,,,,,,,,
0.069147918,1.482147401,,,,,,,,,
0.069168984,1.481478468,,,,,,,,,
0.069192621,1.480818506,,,,,,,,,
0.069218873,1.480167833,,,,,,,,,
0.069247568,1.47952627,,,,,,,,,
0.069278549,1.478893665,,,,,,,,,
0.069311691,1.478269902,,,,,,,,,
0.069346871,1.477654866,,,,,,,,,
0.069383958,1.477048439,,,,,,,,,
0.069422837,1.476450423,,,,,,,,,
0.069463467,1.475860674,,,,,,,,,
0.069505671,1.475278829,,,,,,,,,
0.069549232,1.474704562,,,,,,,,,
0.069594089,1.474137777,,,,,,,,,
0.069640101,1.473578026,,,,,,,,,
0.069687089,1.473024768,,,,,,,,,
0.06973494,1.472477649,,,,,,,,,
0.069783603,1.471936336,,,,,,,,,
0.069832982,1.471400725,,,,,,,,,
0.069882988,1.470870856,,,,,,,,,
0.069933606,1.47034678,,,,,,,,,
0.069984806,1.469828679,,,,,,,,,
0.07003655,1.469316608,,,,,,,,,
0.070088825,1.468810644,,,,,,,,,
0.070141628,1.468311023,,,,,,,,,
0.070194868,1.467817668,,,,,,,,,
0.070248505,1.467330764,,,,,,,,,
0.070302476,1.466850337,,,,,,,,,
0.070356823,1.466376556,,,,,,,,,
0.070411489,1.465909241,,,,,,,,,
0.070466383,1.465448275,,,,,,,,,
0.070521431,1.464993558,,,,,,,,,
0.070576561,1.464544772,,,,,,,,,
0.070631655,1.464101713,,,,,,,,,
0.070686569,1.463664341,,,,,,,,,
0.07074113,1.463232721,,,,,,,,,
0.070795205,1.462806756,,,,,,,,,
0.070848933,1.462385808,,,,,,,,,
0.070902385,1.461969469,,,,,,,,,
0.07095544,1.461557934,,,,,,,,,
0.071007714,1.461151746,,,,,,,,,
0.071059323,1.460750235,,,,,,,,,
0.071110554,1.460352669,,,,,,,,,
0.071161432,1.45995977,,,,,,,,,
0.071211787,1.459572003,,,,,,,,,
0.071261519,1.459189305,,,,,,,,,
0.071310618,1.458811594,,,,,,,,,
0.071359012,1.458438673,,,,,,,,,
0.071406663,1.458070533,,,,,,,,,
0.071453917,1.457707636,,,,,,,,,
0.071502639,1.457352346,,,,,,,,,
0.071552228,1.457004131,,,,,,,,,
0.071602518,1.456662852,,,,,,,,,
0.071651008,1.456325277,,,,,,,,,
0.07169757,1.455991435,,,,,,,,,
0.071743119,1.455662746,,,,,,,,,
0.071788262,1.455339909,,,,,,,,,
0.071833248,1.455023317,,,,,,,,,
0.071878097,1.454712903,,,,,,,,,
0.07192272,1.454408461,,,,,,,,,
0.071966968,1.45410969,,,,,,,,,
0.07201067,1.453816279,,,,,,,,,
0.072053635,1.45352793,,,,,,,,,
0.072095698,1.453244544,,,,,,,,,
0.072136901,1.45296565,,,,,,,,,
