"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          96,      -4.598567528,      -3.584277554,      -3.428412988,      -2.112696895,      -10.13120382
          0,           0,          97,      -4.608650885,      -3.588391338,      -3.434945394,      -2.122742288,      -10.13059885
          0,           0,          98,      -4.617766986,       -3.59393642,      -3.442683968,      -2.131772504,      -10.12893764
          0,           0,          99,      -4.625432437,      -3.601031949,      -3.451661534,      -2.139302071,      -10.12606842
          0,           0,         100,      -4.631181046,      -3.609768652,      -3.461889802,      -2.144866893,      -10.12204842
          0,           0,         101,      -4.634628834,      -3.620198286,      -3.473350263,      -2.148090151,      -10.11696691
          0,           0,         102,      -4.635540271,      -3.632321762,      -3.485983602,        -2.1487483,      -10.11092931
          0,           0,         103,      -4.633877538,      -3.646074891,       -3.49967772,      -2.146818676,      -10.10401672
          0,           0,         104,      -4.629816281,      -3.661311588,      -3.514255063,      -2.142492579,       -10.0964088
          0,           0,         105,      -4.623721621,      -3.677784958,      -3.529460089,      -2.136148556,      -10.08839478
          0,           0,         106,      -4.616092978,      -3.695127879,      -3.544948798,      -2.128295332,      -10.08025886
          0,           0,         107,      -4.607495144,      -3.712837262,      -3.560283408,      -2.119502319,      -10.07222071
          0,           0,         108,      -4.598493707,       -3.73026936,      -3.574936779,      -2.110335624,      -10.06446775
          0,           0,         109,      -4.589606559,      -3.746656859,      -3.588311932,      -2.101310781,      -10.05717313
          0,           0,         110,      -4.581275098,        -3.7611593,      -3.599781215,      -2.092865281,       -10.0505464
          0,           0,         111,      -4.573852678,        -3.7729526,      -3.608745732,      -2.085348125,       -10.0447604
          0,           0,         112,      -4.567605327,      -3.781348647,      -3.614708371,      -2.079021292,      -10.03980387
          0,           0,         113,      -4.562719583,      -3.785915807,      -3.617345353,      -2.074068012,      -10.03572353
          0,           0,         114,      -4.559313437,      -3.786558959,      -3.616556356,      -2.070603895,      -10.03251058
          0,           0,         115,      -4.557447667,      -3.783526846,      -3.612477231,      -2.068688305,      -10.03018436
          0,           0,         116,      -4.557136046,      -3.777344414,       -3.60545162,      -2.068334494,      -10.02871288
          0,           0,         117,      -4.558353673,      -3.768699338,      -3.595972171,      -2.069517826,      -10.02804342
          0,           0,         118,      -4.561043191,      -3.758324314,      -3.584610248,       -2.07218184,      -10.02803902
          0,           0,         119,       -4.56511892,      -3.746906323,      -3.571951927,      -2.076242224,      -10.02859738
          0,           0,         120,      -4.570469083,      -3.735034303,      -3.558550811,       -2.08158887,      -10.02967354
          0,           0,         121,       -4.57695646,      -3.723180816,      -3.544900065,      -2.088086337,      -10.03111667
          0,           0,         122,      -4.584417867,      -3.711706517,      -3.531420629,      -2.095573143,      -10.03289655
          0,           0,         123,       -4.59266304,      -3.700876362,      -3.518460578,      -2.103860455,      -10.03483446
          0,           0,         124,      -4.601473651,      -3.690879575,      -3.506300902,      -2.112730894,      -10.03684782
          0,           0,         125,      -4.610603337,      -3.681848911,       -3.49516421,      -2.121938384,      -10.03886926
          0,           0,         126,       -4.61977976,      -3.673876955,      -3.485224182,      -2.131210038,      -10.04078597
          0,           0,         127,      -4.628709792,       -3.66702905,      -3.476614645,      -2.140251235,      -10.04246305
          0,           0,         128,      -4.637088635,      -3.661352976,      -3.469437749,      -2.148754707,      -10.04392424
          0,           0,         129,      -4.644613218,        -3.6568859,      -3.463771085,      -2.156414036,       -10.0450898
          0,           0,         130,      -4.650999349,      -3.653659081,      -3.459673705,      -2.162941043,      -10.04587778
          0,           0,         131,      -4.656001036,      -3.651700874,      -3.457191086,      -2.168085467,      -10.04630731
          0,           0,         132,      -4.659429326,      -3.651038281,      -3.456359049,      -2.171654241,      -10.04639776
          0,           0,         133,      -4.661167492,      -3.651697234,      -3.457206608,      -2.173527109,      -10.04611535
          0,           0,         134,      -4.661179661,      -3.653701662,      -3.459757613,      -2.173665536,      -10.04551047
          0,           0,         135,      -4.659511235,      -3.657071237,      -3.464031114,      -2.172113239,      -10.04463688
          0,           0,         136,       -4.65628117,      -3.661817934,      -3.470040189,      -2.168988365,      -10.04354406
          0,           0,         137,      -4.651667786,       -3.66794112,      -3.477788988,      -2.164469073,      -10.04225904
          0,           0,         138,      -4.645891045,      -3.675420897,      -3.487267565,      -2.158775505,        -10.040812
          0,           0,         139,      -4.639194415,      -3.684209463,      -3.498443959,       -2.15215138,      -10.03923712
          0,           0,         140,      -4.631828761,      -3.694220336,      -3.511252879,      -2.144847707,      -10.03758971
          0,           0,         141,      -4.624039688,      -3.705315275,      -3.525580304,      -2.137110059,      -10.03591054
          0,           0,         142,      -4.616058703,      -3.717289628,      -3.541243442,       -2.12916978,      -10.03423204
          0,           0,         143,      -4.608097869,      -3.729857191,       -3.55796613,      -2.121238753,      -10.03254333
          0,           0,         144,      -4.600347229,      -3.742637304,      -3.575351221,      -2.113506958,      -10.03085605
          0,           0,         145,      -4.592974137,      -3.755148871,      -3.592854397,      -2.106141936,      -10.02921796
          0,           0,         146,      -4.586123751,      -3.766817927,       -3.60976854,      -2.099289396,      -10.02765809
          0,           0,         147,      -4.579920096,      -3.777006348,      -3.625233425,      -2.093074352,      -10.02617788
          0,           0,         148,      -4.574467308,      -3.785067019,      -3.638288879,      -2.087602384,       -10.0247904
          0,           0,         149,       -4.56985079,       -3.79042352,      -3.647984098,      -2.082960795,      -10.02351314
          0,           0,         150,      -4.566138189,      -3.792660599,      -3.653535234,       -2.07921954,      -10.02235492
          0,           0,         151,      -4.563380124,      -3.791600723,      -3.654490987,      -2.076431897,      -10.02128638
          0,           0,         152,      -4.561610671,       -3.78734036,      -3.650842836,      -2.074634874,      -10.02027201
          0,           0,         153,      -4.560847549,      -3.780232044,      -3.643029041,       -2.07384931,      -10.01928587
          0,           0,         154,      -4.561091946,      -3.770819337,      -3.631830404,      -2.074079608,      -10.01827071
          0,           0,         155,      -4.562328126,      -3.759748417,       -3.61820626,      -2.075313232,      -10.01720651
          0,           0,         156,      -4.564523039,      -3.747682969,      -3.603134518,      -2.077520194,       -10.0160033
          0,           0,         157,      -4.567626084,      -3.735240111,      -3.587498258,      -2.080652675,      -10.01460248
          0,           0,         158,      -4.571569023,      -3.722952966,       -3.57202875,      -2.084644785,      -10.01295891
          0,           0,         159,      -4.576266128,      -3.711256506,      -3.557293001,      -2.089412525,      -10.01100795
