"       ""CD""       ","       ""CL""       ",,,,,,,,,,,,,
0.044248614,1.039424191,,,,,,,,,,,,,
0.044119672,1.040758648,,,,,,,,,,,,,
0.043969302,1.041967864,,,,,,,,,,,,,
0.043794831,1.043035389,,,,,,,,,,,,,
0.043596608,1.043955462,,,,,,,,,,,,,
0.043376121,1.044729176,,,,,,,,,,,,,
0.043135183,1.045365565,,,,,,,,,,,,,
0.042876577,1.045879365,,,,,,,,,,,,,
0.042607253,1.046294826,,,,,,,,,,,,,
0.042332949,1.046639876,,,,,,,,,,,,,
0.042060356,1.046944775,,,,,,,,,,,,,
0.041792603,1.047235476,,,,,,,,,,,,,
0.041533612,1.047536735,,,,,,,,,,,,,
0.041287162,1.047871153,,,,,,,,,,,,,
0.041056537,1.048257886,,,,,,,,,,,,,
0.040844453,1.048712587,,,,,,,,,,,,,
0.04065211,1.049245248,,,,,,,,,,,,,
0.040479109,1.049857349,,,,,,,,,,,,,
0.040324943,1.050545368,,,,,,,,,,,,,
0.040186656,1.051300067,,,,,,,,,,,,,
0.040060938,1.052107863,,,,,,,,,,,,,
0.039944461,1.052951839,,,,,,,,,,,,,
0.039833528,1.053814924,,,,,,,,,,,,,
0.039724596,1.054677904,,,,,,,,,,,,,
0.039614951,1.055523552,,,,,,,,,,,,,
0.039501282,1.056335802,,,,,,,,,,,,,
0.039381289,1.057101161,,,,,,,,,,,,,
0.039253195,1.057809395,,,,,,,,,,,,,
0.039116377,1.058454863,,,,,,,,,,,,,
0.038971085,1.05903627,,,,,,,,,,,,,
0.038817596,1.059554341,,,,,,,,,,,,,
0.038657174,1.060014141,,,,,,,,,,,,,
0.038491494,1.060423702,,,,,,,,,,,,,
0.03832283,1.060792843,,,,,,,,,,,,,
0.038153423,1.061132222,,,,,,,,,,,,,
0.037985504,1.061453294,,,,,,,,,,,,,
0.037821777,1.061767831,,,,,,,,,,,,,
0.03766376,1.062085911,,,,,,,,,,,,,
0.037512417,1.062416091,,,,,,,,,,,,,
0.037368844,1.06276588,,,,,,,,,,,,,
0.037233778,1.063140499,,,,,,,,,,,,,
0.037107491,1.063543123,,,,,,,,,,,,,
0.036989859,1.063974893,,,,,,,,,,,,,
0.036880567,1.064434626,,,,,,,,,,,,,
0.036779544,1.064919454,,,,,,,,,,,,,
0.036684316,1.065423074,,,,,,,,,,,,,
0.036593825,1.065939249,,,,,,,,,,,,,
0.036506691,1.066460549,,,,,,,,,,,,,
0.036421457,1.066979208,,,,,,,,,,,,,
0.036336731,1.067488151,,,,,,,,,,,,,
0.036251284,1.067981425,,,,,,,,,,,,,
0.036164486,1.06845416,,,,,,,,,,,,,
0.036075911,1.068902418,,,,,,,,,,,,,
0.03598565,1.069324342,,,,,,,,,,,,,
0.035893407,1.069718775,,,,,,,,,,,,,
0.035799456,1.070086784,,,,,,,,,,,,,
0.035704364,1.070430865,,,,,,,,,,,,,
0.035608753,1.070754067,,,,,,,,,,,,,
0.035513172,1.071060096,,,,,,,,,,,,,
0.03541848,1.071354016,,,,,,,,,,,,,
0.03532568,1.071640939,,,,,,,,,,,,,
0.035235747,1.071925739,,,,,,,,,,,,,
0.035149242,1.072213019,,,,,,,,,,,,,
0.03506647,1.072506185,,,,,,,,,,,,,
0.034987691,1.072807862,,,,,,,,,,,,,
0.034913205,1.073119893,,,,,,,,,,,,,
0.034843184,1.073443162,,,,,,,,,,,,,
0.034777688,1.073778163,,,,,,,,,,,,,
0.034716577,1.07412424,,,,,,,,,,,,,
0.034659178,1.074478909,,,,,,,,,,,,,
0.034604751,1.074839082,,,,,,,,,,,,,
0.034552686,1.075201657,,,,,,,,,,,,,
0.034502446,1.075564076,,,,,,,,,,,,,
0.034453415,1.075923281,,,,,,,,,,,,,
0.034405169,1.076276591,,,,,,,,,,,,,
0.034357306,1.076621781,,,,,,,,,,,,,
0.03430946,1.076956927,,,,,,,,,,,,,
0.034261093,1.077279896,,,,,,,,,,,,,
0.03421207,1.077589839,,,,,,,,,,,,,
0.03416248,1.077886963,,,,,,,,,,,,,
0.034112511,1.078171853,,,,,,,,,,,,,
0.034062343,1.078445391,,,,,,,,,,,,,
0.034012075,1.07870839,,,,,,,,,,,,,
0.03396205,1.078962821,,,,,,,,,,,,,
0.033912838,1.079211272,,,,,,,,,,,,,
0.033864499,1.079455776,,,,,,,,,,,,,
0.033817245,1.079698095,,,,,,,,,,,,,
0.033771423,1.079939504,,,,,,,,,,,,,
0.033727276,1.080181116,,,,,,,,,,,,,
0.033685039,1.080424077,,,,,,,,,,,,,
0.033645077,1.080669254,,,,,,,,,,,,,
0.033607337,1.080917274,,,,,,,,,,,,,
0.033571555,1.081168197,,,,,,,,,,,,,
0.033537542,1.081421427,,,,,,,,,,,,,
0.033504948,1.081675629,,,,,,,,,,,,,
0.033473495,1.081929739,,,,,,,,,,,,,
0.033442886,1.082182618,,,,,,,,,,,,,
0.03341323,1.082433452,,,,,,,,,,,,,
0.033385408,1.082682186,,,,,,,,,,,,,
0.033356962,1.082925911,,,,,,,,,,,,,
0.033327643,1.083163526,,,,,,,,,,,,,
0.033297884,1.083394265,,,,,,,,,,,,,
0.033267731,1.083617619,,,,,,,,,,,,,
0.033237142,1.083833321,,,,,,,,,,,,,
0.033206093,1.084041237,,,,,,,,,,,,,
0.033174536,1.084241716,,,,,,,,,,,,,
0.033142496,1.084435116,,,,,,,,,,,,,
0.033110016,1.084621771,,,,,,,,,,,,,
0.033077082,1.08480222,,,,,,,,,,,,,
0.033043791,1.084977234,,,,,,,,,,,,,
0.033010295,1.085147633,,,,,,,,,,,,,
0.032976804,1.085314152,,,,,,,,,,,,,
0.032943371,1.085477392,,,,,,,,,,,,,
0.032909965,1.085637673,,,,,,,,,,,,,
0.032876711,1.085795051,,,,,,,,,,,,,
0.032843594,1.085950086,,,,,,,,,,,,,
0.03281045,1.08610304,,,,,,,,,,,,,
0.032777313,1.086253535,,,,,,,,,,,,,
0.032744182,1.086400925,,,,,,,,,,,,,
0.032710912,1.086544837,,,,,,,,,,,,,
0.032677331,1.086684887,,,,,,,,,,,,,
0.032643323,1.086820794,,,,,,,,,,,,,
0.032608675,1.086952024,,,,,,,,,,,,,
0.032573408,1.087078309,,,,,,,,,,,,,
0.032537526,1.08719949,,,,,,,,,,,,,
0.032500767,1.087314728,,,,,,,,,,,,,
0.032462993,1.087423448,,,,,,,,,,,,,
0.032424129,1.087525204,,,,,,,,,,,,,
0.032384176,1.087619635,,,,,,,,,,,,,
0.032343067,1.087706237,,,,,,,,,,,,,
0.032300791,1.087784796,,,,,,,,,,,,,
0.032257214,1.087855624,,,,,,,,,,,,,
0.032212385,1.087918508,,,,,,,,,,,,,
0.032166433,1.087973672,,,,,,,,,,,,,
0.0321195,1.088021929,,,,,,,,,,,,,
0.032071604,1.088063525,,,,,,,,,,,,,
0.032022701,1.088098413,,,,,,,,,,,,,
0.031972914,1.088127101,,,,,,,,,,,,,
0.031922234,1.088150058,,,,,,,,,,,,,
0.031870473,1.088167733,,,,,,,,,,,,,
0.031817927,1.088180185,,,,,,,,,,,,,
0.031764556,1.088187141,,,,,,,,,,,,,
0.031710338,1.088188662,,,,,,,,,,,,,
0.031655361,1.088184984,,,,,,,,,,,,,
0.03159963,1.088176002,,,,,,,,,,,,,
0.031543105,1.088161431,,,,,,,,,,,,,
0.031485706,1.088140935,,,,,,,,,,,,,
0.031427487,1.088114681,,,,,,,,,,,,,
0.031368491,1.088082455,,,,,,,,,,,,,
0.031308847,1.088044586,,,,,,,,,,,,,
0.031248447,1.088001096,,,,,,,,,,,,,
0.031187073,1.087951773,,,,,,,,,,,,,
0.03112491,1.087896503,,,,,,,,,,,,,
0.03106211,1.087835331,,,,,,,,,,,,,
0.030998705,1.087768373,,,,,,,,,,,,,
0.03093478,1.087695625,,,,,,,,,,,,,
0.030870287,1.087617236,,,,,,,,,,,,,
0.030805238,1.087533492,,,,,,,,,,,,,
0.030739688,1.087444573,,,,,,,,,,,,,
0.030673669,1.087350667,,,,,,,,,,,,,
